scientific_name,common_name,city,state,count,mean_h
Ulmus americana,Princeton elm,Buffalo,New York,92,
Handroanthus chrysotrichus,Golden trumpet tree,Huntington Beach,California,92,26.889
Ulmus,Hybrid elm,Pittsburgh,Pennsylvania,91,0.447
Taxodium distichum,Baldcypress,Overland Park,Kansas,91,
Quercus rubra,Northern red oak,Pleasant Hill,Iowa,91,
Pinus brutia,Calabrian pine,Anaheim,California,91,
Pyrus,Pear tree,San Francisco,California,91,
Pinus palustris,Longleaf pine,Houston,Texas,91,
Acacia auriculiformis,Earleaf acacia,Cape Coral,Florida,91,
Brassaia actinophylla,Octopus tree,Los Angeles,California,91,
Gymnocladus dioica,Kentucky coffeetree,Portland,Oregon,91,
Gleditsia triacanthos,Sunburst honey locust,Seattle,Washington,91,
Amelanchier laevis,Spring flurry serviceberry,Seattle,Washington,91,
Cedrus deodara,Deodar cedar,Washington DC,District of Columbia,91,
Ceiba speciosa,Silk floss,San Francisco,California,91,
Picea glauca,White spruce,Watertown,Wisconsin,91,
Aesculus carnea,Red horsechestnut,Sacramento,California,91,
Pyrus calleryana,Cleveland select pear,Buffalo,New York,91,
Ulmus americana,Princeton (ulmus americana ) elm,Knoxville,Tennessee,91,
Chionanthus retusus,Chinese fringe,Rancho Cucamonga,California,91,
Quercus shumardii,Shumard oak,Overland Park,Kansas,90,
Juniperus californica,California juniper,Los Angeles,California,90,
Liquidambar orientalis,Oriental sweetgum,Orlando,Florida,90,
Phoenix roebelenii,Pygmy date palm,Ontario,California,90,
Fraxinus oxycarpa,Raywood ash,Ontario,California,90,
Prunus armeniaca,Apricot,Sacramento,California,90,
Malus,Crabapple (harvest gold),Washington DC,District of Columbia,90,
Acer saccharum,Sugar maple,Brown Deer,Wisconsin,90,
Parkinsonia praecox,Palo brea,Las Vegas,Nevada,90,
Platanus acerifolia,London  planetree,Oklahoma City,Oklahoma,90,120.443
Quercus macrocarpa,Bur oak,Pleasant Hill,Iowa,90,
Ulmus alata,Winged elm,Durham,North Carolina,90,17.299
Hibiscus rosa-sinensis,China of rose,Los Angeles,California,90,
Sideroxylon lanuginosum,Gum or gum bumelia bumelia,Plano,Texas,90,
Acer negundo,Boxelder maple,Washington DC,District of Columbia,90,
Liriodendron tulipifera,Yellow poplar,Houston,Texas,90,
Cupressus leylandii,Leylandii cypress,San Diego,California,90,
Grevillea robusta,Silk oak tree,San Francisco,California,90,
Platanus occidentalis,American sycamore,Seattle,Washington,90,
Liquidambar orientalis,Oriental sweet gum,San Francisco,California,90,
Malus floribunda,Japanese crabapple,Seattle,Washington,90,
Podocarpus gracilior,Fern pine,Garden Grove,California,89,118.331
Eucalyptus lehmannii,Bushy yate,San Francisco,California,89,
Acer saccharinum,Silver maple,San Diego,California,89,
Acer saccharinum,Silver maple,Adel,Iowa,89,
Robinia ambigua,Purple robe locust,Las Vegas,Nevada,89,
Aesculus carnea,Ft mcnair horsechestnut,Denver,Colorado,89,
Acacia pendula,Weeping acacia,Huntington Beach,California,89,7.483
Crataegus crusgalli,Thornless hawthorn,Grand Rapids,Michigan,89,
Celtis,Hackberry,Watertown,Wisconsin,89,
Aleurites moluccanus,Kukui,Honolulu,Hawaii,89,74.751
Acer ginnala,Amur maple,Grand Rapids,Michigan,89,
Chionanthus virginicus,White fringetree,Baltimore,Maryland,89,24.957
Eucalyptus sideroxylon,Red ironbark,Stockton,California,89,
Ginkgo biloba,Ginkgo,Nashville,Tennessee,89,
Acer tataricum,Tatarian maple,Columbus,Ohio,89,
Acer tataricum,Tatarian maple,Pittsburgh,Pennsylvania,89,46.632
Fraxinus excelsior,European ash,Buffalo,New York,89,
Quercus rubra,Red oak,Watertown,Wisconsin,89,
Crataegus viridis,Winter king hawthorn,Denver,Colorado,89,
Abies homolepis,Nikko fir,Rochester,New York,89,
Picea glauca,White spruce,Baltimore,Maryland,89,65.432
Fraxinus oxycarpa,Flame ash,Sacramento,California,89,
Fraxinus americana,White ash,Wauwatosa,Wisconsin,89,
Cercis occidentalis,Western redbud,Denver,Colorado,89,
Citrus,Citrus,Stockton,California,88,
Picea abies,Norway spruce,New Berlin,Wisconsin,88,
Calocedrus decurrens,Incense cedar,Ontario,California,88,
Ulmus parvifolia,Chinese elm,St. Louis,Missouri,88,
Koelreuteria bipinnata,Flame tree,San Diego,California,88,
Eucalyptus ficifolia,Redflower gum,Irvine,California,88,
Casuarina equisetifolia,Ironwood,Honolulu,Hawaii,88,114.716
Acer platanoides,Norway maple,Coon Rapids,Iowa,88,
Betula nigra,River birch,Durham,North Carolina,88,16.814
Ilex decidua,Possum haw holly,Houston,Texas,88,
Tsuga canadensis,Eastern hemlock,New York,New York,88,
Fraxinus velutina,Modesto ash,Anaheim,California,88,
Alnus japonica,Japanese alder,Columbus,Ohio,88,
Acer saccharinum,Maple,Rancho Cucamonga,California,88,
Acer,Maple,Waukee,Iowa,88,
Eucommia ulmoides,Hardy rubber tree,Denver,Colorado,88,
Tilia tomentosa,Silver linden,Overland Park,Kansas,88,
Cryptomeria,Cryptomeria,Portland,Oregon,88,
Juglans nigra,Black walnut,Seattle,Washington,88,
Cornus,Venus dogwood,Seattle,Washington,88,
Cedrus atlantica,Atlas cedar,New York,New York,87,
Acer tataricum,Tatarian maple,Rochester,New York,87,
Platanus racemosa,Western sycamore,Stockton,California,87,
Ginkgo biloba,Magyar ginkgo,Buffalo,New York,87,
Pyrus calleryana,Bradford pear,Greensboro,North Carolina,87,8.175
Cordia subcordata,Kou,Honolulu,Hawaii,87,61.619
Malus tschonoskii,Crabapple,West Allis,Wisconsin,87,
Brugmansia,Angel trumpet,San Francisco,California,87,
Archontophoenix cunninghamiana,King palm,Ontario,California,87,
Quercus warei,Reg prin oak,Sioux Falls,South Dakota,87,34.392
Prunus cerasifera,Purple leaf plum,Houston,Texas,87,
Acer rubrum,Redpointe red maple,Seattle,Washington,87,
Acer palmatum,Japanese maple,Buffalo,New York,87,
Pinus pinea,Italian stone pine,Ontario,California,87,
Juniperus virginiana,Eastern red cedar,Grand Rapids,Michigan,87,
Prunus serotina,Black cherry,Boston,Massachusetts,87,
Carpinus betulus,European hornbeam,Grand Rapids,Michigan,87,
Platanus acerifolia,Sycamore,Santa Rosa,California,87,93.221
Ginkgo biloba,Princeton sentry ginkgo,Seattle,Washington,87,
Juniperus virginiana,Eastern redcedar,Pittsburgh,Pennsylvania,86,49.823
Brachychiton acerifolius,Australian flame tree,Anaheim,California,86,
Crateagus,Hawthorn,San Francisco,California,86,
Tamarix ramosissima,Salt cedar,Las Vegas,Nevada,86,
Cladrastis kentukea,Yellowwood,Durham,North Carolina,86,16.873
Juglans nigra,Black walnut,St. Louis,Missouri,86,
Quercus acutissima,Sawtooth oak,Denver,Colorado,86,
Magnolia,Magnolia,Houston,Texas,86,
Acer buergerianum,Trident maple,Stockton,California,86,
Juglans nigra,Black walnut,Plano,Texas,86,
Quercus muehlenbergii,Chinkapin  oak,Oklahoma City,Oklahoma,86,78.702
Tabebuia berteroi,White tecoma,Kailua,Hawaii,86,58.254
Magnolia grandiflora,Little gem magnolia,Plano,Texas,86,
Delonix regia,Royal poinciana,Cape Coral,Florida,86,
Ulmus,Hybrid elm,Overland Park,Kansas,85,
Magnolia,Magnolia,San Francisco,California,85,
Picea pungens,Colorado spruce,St. Louis,Missouri,85,
Ficus rubiginosa,Rusty leaf fig,Anaheim,California,85,
Ulmus carpinifolia,Smoothleaf elm,Buffalo,New York,85,
Pseudotsuga menziesii,Fir douglas,New York,New York,85,
Juniperus,Juniper,Durham,North Carolina,85,
Leucaena leucocephala,Lead tree,Cape Coral,Florida,85,
Cupressocyparis leylandii,Leyland cypress,Sacramento,California,85,
Aesculus,Buckeye,Columbus,Ohio,85,
Gleditsia triacanthos,Honeylocust,Newton,Iowa,85,
Lagerstroemia indica,Potomac crape myrtle,Seattle,Washington,85,
Agonis flexuosa,Peppermint tree,Huntington Beach,California,85,3.474
Morus alba,White mulberry,Buffalo,New York,85,
Crataegus,Hawthn,Sioux Falls,South Dakota,85,45.314
Xylosma,Xylosma,Garden Grove,California,85,93.021
Celtis occidentalis,Northern hackberry,Waukee,Iowa,85,
Acer campestre,Queen elizabeth maple,Seattle,Washington,85,
Catalpa speciosa,Northern catalpa,Rochester,New York,84,
Ulmus rubra,Slippery elm,Louisville,Kentucky,84,
Syringa reticulata,Japanese tree lilac,Milwaukee,Wisconsin,84,
Prunus serrulata,Japanese flowering cherry,Los Angeles,California,84,
Persea americana,Avacado,San Diego,California,84,
Ostrya virginiana,American hophornbeam,Baltimore,Maryland,84,49.174
Sophora japonica,Pagoda tree,Portland,Oregon,84,
Pinus resinosa,Red pine,Buffalo,New York,84,
Eucalyptus camaldulensis,River red gum,San Francisco,California,84,
Cornus florida,Flowering dogwood,Orlando,Florida,84,
Quercus rubra,Red oak,Brown Deer,Wisconsin,84,
Ulmus rubra,Slippery elm,Columbus,Ohio,84,
Ulmus pumila,Siberian elm,Nashville,Tennessee,84,
Aesculus hippocastanum,Horsechestnut,Washington DC,District of Columbia,84,
Pinus roxburghii,Chir pine,Los Angeles,California,84,
Prunus persica,Peach,Stockton,California,84,
Cercis chinensis,Chinese redbud,Durham,North Carolina,84,16.404
Fagus sylvatica,European beech,Denver,Colorado,84,
Acer miyabei,Miyabe maple,Aurora,Colorado,84,
Amelanchier canadensis,Eastern service berry,Detroit,Michigan,84,
Quercus alba,White oak,St. Louis,Missouri,84,
Quercus shumardii,Shumard oak,Fresno,California,84,
Liquidambar styraciflua,Sweetgum,Denver,Colorado,84,
Morus,Mulberry,Madison,Wisconsin,84,
Quercus garryana,Oregon white (garry) oak,Seattle,Washington,84,
Populus tremuloides,Quaking aspen,New York,New York,83,
Quercus palustris,Green pillar oak,Washington DC,District of Columbia,83,
Celtis occidentalis,Common hackberry,Glendale,Wisconsin,83,
Pinus sylvestris,Scotch pine,Grand Rapids,Michigan,83,
Morus alba,White mulberry,Huntington Beach,California,83,16.799
Acer ginnala,Mozart amur maple,Columbus,Ohio,83,
Pyrus calleryana,Autumn blaze pear,Seattle,Washington,83,
Cercis occidentalis,Western redbud,San Francisco,California,83,
Prunus cerasifera,Cherry plum,Grand Rapids,Michigan,83,
Cedrus deodara,Deodar cedar,Huntington Beach,California,83,7.51
Ilex attenuata,Topal holly east palatka holly,Tampa,Florida,83,52.28
Ravenea rivularis,Majesty palm,Garden Grove,California,83,53.363
Cupressus,Cypress,Sacramento,California,83,
Quercus falcata,Southern red oak,New York,New York,83,
Acer platanoides,Norway maple,Dallas Center,Iowa,83,
Picea engelmannii,Engelmann spruce,Denver,Colorado,83,
Ficus benjamina,Weeping fig,Huntington Beach,California,82,5.882
Picea,Spruce,Columbus,Ohio,82,
Cercis canadensis,Eastern redbud,Dallas,Texas,82,
Ulmus parvifolia,Chinese elm,Albuquerque,New Mexico,82,76.738
Ilex attenuata,Savannah holly,New Orleans,Louisiana,82,
Ulmus parvifolia,Chinese elm,Huntington Beach,California,82,51.213
Quercus laevis,Turkey oak,Tampa,Florida,82,115.65
Betula nigra,River (betula nigra) birch,Knoxville,Tennessee,82,
Pyrus kawakamii,Pear,Rancho Cucamonga,California,82,
Cordia sebestena,Haole kou,Honolulu,Hawaii,82,52.814
Corylus colurna,Turkish filbert,Rochester,New York,82,
Fagus sylvatica,European beech,Sacramento,California,82,
Quercus robur,Crimson spire oak,Columbus,Ohio,82,
Koelreuteria paniculata,Goldenrain tree,Overland Park,Kansas,82,
Prunus yedoensis,Yoshino cherry,Baltimore,Maryland,81,35.401
Phoenix canariensis,Canary island date palm,Cape Coral,Florida,81,
Juglans nigra,Black walnut,New Berlin,Wisconsin,81,
Juniperus scopulorum,Rocky mountain juniper,Colorado Springs,Colorado,81,
Acer platanoides,Norway maple,Woodward,Iowa,81,
Malus,Velvet pillar crabapple,Columbus,Ohio,81,
Fagus sylvatica,European beech,Rochester,New York,81,
Cocos nucifera,Coconut palm,Los Angeles,California,81,
Olea europaea,Olive,New Orleans,Louisiana,81,
Betula nigra,River birch,Nashville,Tennessee,81,
Melia azedarach,Chinaberry,Stockton,California,81,
Crataegus crusgalli,Cockspur hawthorn,Buffalo,New York,81,
Fraxinus,Ash,Milo,Iowa,81,
Eucalyptus rudis,Desert gum,Huntington Beach,California,81,11.139
Chrysophyllum oliviforme,Satinleaf,Honolulu,Hawaii,80,107.365
Quercus shumardii,Shumard red oak,Seattle,Washington,80,
Magnolia champaca,Champa,San Francisco,California,80,
Acer platanoides,Crimson sentry norway maple,Seattle,Washington,80,
Ulmus pumila,Homestead elm,Columbus,Ohio,80,
Malus,Snowdrift crabapple,Washington DC,District of Columbia,80,
Parrotia persica,Persian ironwood,Durham,North Carolina,80,17.161
Zelkova serrata,Japanese zelkova,Louisville,Kentucky,80,
Cladrastis lutea,Yellowwood,Rochester,New York,80,
Aesculus hippocastanum,Common horsechestnut,Columbus,Ohio,80,
Pinus sylvestris,Scotch pine,Colorado Springs,Colorado,80,
Robinia pseudoacacia,Purple robe,San Diego,California,80,
Crataegus phaenopyrum,Washington hawthorn,Columbus,Ohio,80,
Pinus strobus,Eastern white pine,Pleasant Hill,Iowa,80,
Ostrya virginiana,American hophornbeam,Pittsburgh,Pennsylvania,80,30.333
Quercus acutissima,Sawtooth oak,Rochester,New York,80,
Acer saccharum,Sugar column maple,Rochester,New York,80,
Agonis flexuosa,Peppermint tree,Irvine,California,80,
Populus canadensis,Carolina poplar,Ontario,California,80,
Citrus reticulata,Tangerine,Los Angeles,California,80,
Cornus mas,Cornelian cherry dogwood,Denver,Colorado,79,
Acer ginnala,Flame amur maple,Columbus,Ohio,79,
Picea omorika,Serbian spruce,Sioux Falls,South Dakota,79,17.899
Juglans hindsii,California black walnut,Stockton,California,79,
Rhus laurina,Laurel sumac,Los Angeles,California,79,
Liquidambar orientalis,Oriental sweetgum,Los Angeles,California,79,
Pseudotsuga menziesii,Douglas fir,Grand Rapids,Michigan,79,
Juniperus sabina,Scandia juniper,Colorado Springs,Colorado,79,
Hakea suaveolens,Sweet hakea tree,San Francisco,California,79,
Acer platanoides,Norway maple,Sacramento,California,79,
Trachycarpus fortunei,Windmill palm,Stockton,California,79,
Acer saccharinum,Silver maple,San Francisco,California,79,
Albizia saman,Monkeypod,Kailua,Hawaii,79,136.383
Ulmus alata,Winged elm,Richmond,Virginia,79,
Pittosporum undulatum,Victorian box,Anaheim,California,79,
Populus trichocarpa,Black cottonwood,Los Angeles,California,79,
Ulmus,Accolade elm,Detroit,Michigan,78,
Pinus strobiformis,Southwestern white pine,Aurora,Colorado,78,
Syringa,Tree lilac,Seattle,Washington,78,
Podocarpus gracilior,Podocarpus,Rancho Cucamonga,California,78,
Pyrus calleryana,New bradford pear,San Francisco,California,78,
Tilia cordata,Littleleaf (tilia cordata) linden,Knoxville,Tennessee,78,
Cladrastis lutea,Yellowood,Buffalo,New York,78,
Fraxinus americana,Rosehill white ash,Columbus,Ohio,78,
Magnolia stellata,Star magnolia,Baltimore,Maryland,78,41.978
Chionanthus retusus,Chinese fringe tree,Los Angeles,California,78,
Pistacia chinensis,Chinese pistache,Seattle,Washington,78,
Quercus acutissima,Sawtooth oak,Detroit,Michigan,78,
Betula,Birch,San Francisco,California,78,
Malus,Donald wyman crabapple,Seattle,Washington,78,
Crataegus phaenopyrum,Washington hawthorn,Washington DC,District of Columbia,78,
Quercus laurifolia,Laurel oak,New Orleans,Louisiana,77,
Fagus,Beech,Seattle,Washington,77,
Populus deltoides,Eastern cottonwood,Rochester,New York,77,
Metasequoia glyptostroboides,Dawn redwood,St. Louis,Missouri,77,
Quercus,Species oak,Rochester,New York,77,
Dodonaea viscosa,Hopseed,Los Angeles,California,77,
Juglans nigra,Black walnut,Glendale,Wisconsin,77,
Magnolia,Magnolia,Louisville,Kentucky,77,
Quercus geminata,Sand live oak,Orlando,Florida,77,
Fraxinus excelsior,European ash,Grand Rapids,Michigan,77,
Quercus shumardii,Shumard oak,Nashville,Tennessee,77,
Ostrya virginiana,Hophornbean,Denver,Colorado,77,
Pinus echinata,Shortleaf pine,Houston,Texas,77,
Quercus pagoda,Cherrybark oak,Houston,Texas,77,
Robinia ambigua,Purple robe locust,Stockton,California,77,
Picea pungens,Colorado blue spruce,Los Angeles,California,77,
Filicium decipiens,Fern tree,Kaneohe,Hawaii,77,96.167
Arecaceae,Palm,Kaneohe,Hawaii,76,67.603
Syringa reticulata,Japanese tree lilac,New Berlin,Wisconsin,76,
Ginkgo biloba,Maidenhair tree,Huntington Beach,California,76,8.418
Maackia amurensis,Amur maackia,Seattle,Washington,76,
Melaleuca quinquenervia,Cajeput,Irvine,California,76,
Acer rubrum,Red maple,Dallas,Texas,76,
Corylus colurna,Turkish filbert,Seattle,Washington,76,
Syringa reticulata,Japanese tree lilac,Aurora,Colorado,76,
Magnolia soulangiana,Saucer magnolia,Seattle,Washington,76,
Picea,Spruce,Milwaukee,Wisconsin,76,
Aesculus arnoldiana,Aut sp bukeye,Sioux Falls,South Dakota,76,24.304
Koelreuteria paniculata,Goldenraintree,Pittsburgh,Pennsylvania,76,40.579
Dracaena australis,Dracaena,Los Angeles,California,76,
Hydrangea,hydrangea,Rochester,New York,76,
Populus deltoides,Eastern cottonwood,Baltimore,Maryland,76,106.066
Syringa reticulata,China snow pekin lilac,Columbus,Ohio,76,
Lagerstroemia L.,White crape myrtle,Los Angeles,California,76,
Amelanchier,Serviceberry:,Pittsburgh,Pennsylvania,76,3.129
Cercis,Redbud,Madison,Wisconsin,76,
Ulmus crassifolia,Cedar  elm,Oklahoma City,Oklahoma,76,69.502
Acer truncatum,Shantung  maple,Oklahoma City,Oklahoma,76,45.112
Ulmus americana,American (ulmus americana) elm,Knoxville,Tennessee,76,
Aesculus glabra,Ohio buckeye,New York,New York,75,
Phoenix roebelenii,Pigmy date palm,New Orleans,Louisiana,75,
Pinus thunbergii,Japanese black pine,Baltimore,Maryland,75,51.006
Ficus macrophylla,Moreton bay fig,Huntington Beach,California,75,7.874
Prunus serotina,(wild) black cherry,Seattle,Washington,75,
Catalpa,Catalpa,Seattle,Washington,75,
Elaeocarpus decipiens,Japanese blueberry tree,San Francisco,California,75,
Hibiscus syriacus,Sharon of rose,Los Angeles,California,75,
Crataegus crus-galli,Thornless cockspur hawthorn,Seattle,Washington,75,
Acer rubrum,Bowhall red maple,Columbus,Ohio,74,
Aesculus carnea,Red horsechestnut,Baltimore,Maryland,74,48.902
Fraxinus excelsior,Kimberly ash,Seattle,Washington,74,
Cercis canadensis,Redbudeastern,Sioux Falls,South Dakota,74,31.789
Acer nigrum,Black maple,Madison,Wisconsin,74,
Gymnocladus dioicus,Kentucky coffeetree (gymnocladus dioicus),Knoxville,Tennessee,74,
Pinus strobus,Pinewhite,Sioux Falls,South Dakota,74,48.681
Clusia rosea,Autograph tree,Honolulu,Hawaii,74,65.838
Morus alba,Mulberry,Rancho Cucamonga,California,74,
Crataegus,Hawthorn,Wauwatosa,Wisconsin,74,
Ulmus pumila,Siberian elm,Buffalo,New York,74,
Cornus florida,Flowering dogwood,Durham,North Carolina,74,
Pinus ponderosa,Ponderosa pine,Seattle,Washington,74,
Ulmus procera,English elm,Seattle,Washington,74,
Salix babylonica,Weeping willow,New Orleans,Louisiana,74,
Laburnum watereri,Hybrid goldenchain,Seattle,Washington,74,
Acer negundo,Boxelder,New Berlin,Wisconsin,74,
Carpinus betulus,European hornbeam,San Francisco,California,74,
Carya ovata,Shagbark hickory,Milwaukee,Wisconsin,74,
Annona glabra,Pond apple,Cape Coral,Florida,74,
Melaleuca quinquenervia,Cajeput tree,Garden Grove,California,74,135.667
Pinus halepensis,Aleppo pine,Garden Grove,California,74,240.078
Malus,Apple,Madison,Wisconsin,74,
Juglans nigra,Black walnut,De Soto,Iowa,73,
Lagerstroemia indica,Liquidambar,Rancho Cucamonga,California,73,
Nyssa sylvatica,Firestarter black tupelo,Seattle,Washington,73,
Persea americana,Avocado,San Francisco,California,73,
Prunus mexicana,Mexican plum,Plano,Texas,73,
Phoenix dactylifera,Date palm,Huntington Beach,California,73,26.561
Plumeria,Plumeria,Kailua,Hawaii,73,40.494
Magnolia grandiflora,Blanchard magnolia,Anaheim,California,73,
Pistacia chinensis,Chinese (pistacia chinensis) pistache,Knoxville,Tennessee,73,
Quercus buckleyi,Texas red oak,Albuquerque,New Mexico,73,74.962
Carya,Hickory species,Rochester,New York,73,
Ginkgo biloba,Ginkgo (ginkgo biloba),Knoxville,Tennessee,73,
Pinus taeda,Loblolly pine,Orlando,Florida,73,
Cupressocyparis leylandii,Leyland cypress,New Orleans,Louisiana,73,
Ulmus procera,English elm,Denver,Colorado,73,
Platanus racemosa,California sycamore,San Francisco,California,73,
Quercus acutissima,Sawtooth (quercus acutissima) oak,Knoxville,Tennessee,73,
Crataegus,Winter king hawthorn,Detroit,Michigan,73,
Acacia dealbata,Silver wattle,Los Angeles,California,72,
Prunus persica,Peach,Garden Grove,California,72,49.213
Prunus virginiana,cherry choke,Rochester,New York,72,
Pyrus calleryana,Callery pear,New Berlin,Wisconsin,72,
Butia capitata,Pindo palm,New Orleans,Louisiana,72,
Morus alba,White mulberry,Garden Grove,California,72,117.563
Quercus imbricaria,Shingle oak,Buffalo,New York,72,
Cercis canadensis,Eastern redbud,Los Angeles,California,72,
Fraxinus profunda,Pumpkin ash,New Orleans,Louisiana,72,
Juniperus virginiana,Eastern redcedar,Madison,Wisconsin,72,
Fraxinus americana,White ash,Waukee,Iowa,72,
Cedrus deodara,Himalayan cedar,New York,New York,72,
Ulmus parvifolia,Chinese elm,Denver,Colorado,72,
Pinus,Pine,Denver,Colorado,72,
Acoelorrhaphe wrightii,Paurotis palm,Cape Coral,Florida,72,
Robinia pseudoacacia,Black locust,St. Louis,Missouri,72,
Pyrus calleryana,Whitehouse callery pear,Columbus,Ohio,72,
Ligustrum lucidum,Glossy privet,Las Vegas,Nevada,72,
Quercus alba,White oak,Durham,North Carolina,72,
Carya tomentosa,Mockernut hickory,Baltimore,Maryland,72,107.994
Quercus macrocarpa,Bur oak,Durham,North Carolina,72,16.404
Quercus stellata,Post oak,Baltimore,Maryland,72,122.849
Sapindus,Soapberry,Houston,Texas,72,
Acer saccharinum,Silver maple,Adair,Iowa,72,
Prunus,(prunus) cherry/plum,Knoxville,Tennessee,72,
Malus,Purple prince crabapple,Seattle,Washington,72,
Robinia pseudoacacia,Black locust,Anaheim,California,72,
Quercus palustris,Sovereign pin oak,Seattle,Washington,71,
Liquidambar styraciflua,Roundleaf sweetgum,San Francisco,California,71,
Livistona chinensis,Chinese fan palm,Orlando,Florida,71,
Gymnocladus dioicus,Kentucky coffeetree,Colorado Springs,Colorado,71,
Schefflera,Scheflera,San Diego,California,71,
Chrysophyllum oliviforme,Satinleaf,Kaneohe,Hawaii,71,90.755
Alnus cordata,Italian alder,Columbus,Ohio,71,
Celtis laevigata,Sugarberry,Baltimore,Maryland,71,46.579
Juniperus chinensis,Juniper,St. Louis,Missouri,71,
Trachycarpus fortunei,Windmill palm,Ontario,California,71,
Crataegus,Hawthorn,Detroit,Michigan,71,
Lagerstroemia indica,Crapemyrtle,Las Vegas,Nevada,71,
Platanus occidentalis,American sycamore,Newton,Iowa,71,
Corylus colurna,Turkish filbert,Grand Rapids,Michigan,71,
Cedrus deodara,Deodar cedar,San Diego,California,71,
Metasequoia glyptostroboides,Dawn redwood,Detroit,Michigan,71,
Magnolia grandiflora,Little gem magnolia,Huntington Beach,California,71,9.473
Juniperus,(juniperus) juniper,Knoxville,Tennessee,71,
Tree,Tree hardwood,Boston,Massachusetts,71,
Carya glabra,Pignut hickory,Louisville,Kentucky,71,
Acer,Maple,Sioux Falls,South Dakota,70,60.721
Styrax obassia,Bigleaf (fragrant) snowbell,Seattle,Washington,70,
Prunus salicina,Japanese plum,Los Angeles,California,70,
Thuja,Arborvitae,Aurora,Colorado,70,
Auranticarpa rhombifolia,Diamond pittosporum,Anaheim,California,70,
Taxodium ascendens,Pond cypress,Louisville,Kentucky,70,
Sequoia sempervirens,Coast redwood,Huntington Beach,California,70,3.515
Gleditsia triacanthos,Honey locust,Plano,Texas,70,
Malus,Red jewel crabapple,Buffalo,New York,70,
Taxodium ascendens,Pond cypress,Durham,North Carolina,70,26.247
Catalpa bignonioides,Southern catalpa,Denver,Colorado,70,
Acer saccharum,Sugar maple,West Allis,Wisconsin,70,
Quercus robur,English oak,Madison,Wisconsin,70,
Tabebuia chrysotricha,Gold trumpet tree,Tampa,Florida,70,37.23
Acer palmatum,Japanese maple,Rochester,New York,70,
Hibiscus syriacus,Althea,Houston,Texas,70,
Quercus shumardii,Shumard's oak,Tampa,Florida,70,74.846
Ficus carica,Common fig,Irvine,California,70,
Amelanchier canadensis,Shadblow serviceberry,Baltimore,Maryland,70,27.559
Catalpa speciosa,Northern catalpa,Pittsburgh,Pennsylvania,70,77.266
Cornus mas,Cornelian cherry dogwood,Louisville,Kentucky,70,
Taxodium distichum,Bald cypress,Seattle,Washington,70,
Hymenosporum flavum,Sweetshade,Garden Grove,California,70,120.454
Salix,Willow,Colorado Springs,Colorado,70,
Robinia ambigua,Idaho lavender locust,Los Angeles,California,70,
Tree,Tree site deleted,Anaheim,California,70,
Magnolia soulangiana,Saucer magnolia,San Francisco,California,70,
Rhizophora mangle,Red mangrove,Cape Coral,Florida,69,
Gleditsia triacanthos,Honey locust,Houston,Texas,69,
Nyssa sylvatica,Black tupelo,Detroit,Michigan,69,
Maclura pomifera,Osage orange,Overland Park,Kansas,69,
Pinus resinosa,Red pine,Madison,Wisconsin,69,
Phoenix roebelenii,Pygmy date palm,Anaheim,California,69,
Acer saccharum,Sugar maple,Newton,Iowa,69,
Fraxinus pennsylvanica,Ashgr patmore,Sioux Falls,South Dakota,69,99.138
Juniperus chinensis,Chinese juniper,Irvine,California,69,
Cornus kousa,Kousa dogwood,Grand Rapids,Michigan,69,
Carpinus betulus,Upright european hornbeam,Denver,Colorado,69,
Persea americana,Avocado,Ontario,California,69,
Celtis occidentalis,Common hackberry,New Berlin,Wisconsin,69,
Picea glauca,White spruce,New Berlin,Wisconsin,69,
Melaleuca quinquenervia,Cajeput tree,Ontario,California,69,
Cercidiphyllum japonicum,Katsura tree,Detroit,Michigan,69,
Eucommia ulmoides,Hardy rubber tree,Seattle,Washington,68,
Ailanthus altissima,Tree of heaven,Greensboro,North Carolina,68,8.196
Picea pungens,Colorado blue spruce,Louisville,Kentucky,68,
Quercus coccinea,Scarlet oak,Pittsburgh,Pennsylvania,68,22.194
Rhus,Sumac,Portland,Oregon,68,
Ulmus,Elm hybrid,Albuquerque,New Mexico,68,59.701
Callistemon,Red cluster bottlebrush,New Orleans,Louisiana,68,
Pittosporum rhombifolium,Queensland pittosporum,Ontario,California,68,
Juniperus chinensis,Juniper,Madison,Wisconsin,68,
Pyrus,Pear,Santa Rosa,California,68,64.604
Cercis canadensis,Eastern redbud,Rochester,New York,68,
Jacaranda acutifolia,Jacaranda,Cape Coral,Florida,68,
Acer saccharum,Sugar maple,Guthrie Center,Iowa,68,
Betula nigra,River birch,Pittsburgh,Pennsylvania,68,51.094
Pinus nigra,Austrian pine,Louisville,Kentucky,68,
Sophora japonica,Japanese pagodatree,Aurora,Colorado,68,
Crataegus,Hawthorn,West Allis,Wisconsin,68,
Magnolia soulangeana,Saucer magnolia,St. Louis,Missouri,68,
Quercus macrocarpa,Bur oak,Pittsburgh,Pennsylvania,68,17.996
Ginkgo biloba,Ginkgoautmn gld,Sioux Falls,South Dakota,68,28.659
Catalpa longissima,Yokewood,Honolulu,Hawaii,68,116.566
Pyrus calleryana,Chanticleer callery pear,Detroit,Michigan,67,
Malus pumila,Apple,Buffalo,New York,67,
Amelanchier,serviceberry,Rochester,New York,67,
Heteromeles arbutifolia,Toyon,San Francisco,California,67,
